Title,Description,Duration,Genre
1. The Shawshank Redemption (1994),"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",142 min,Drama
2. The Godfather (1972),The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,175 min,"Crime, Drama"
3. The Dark Knight (2008),"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152 min,"Action, Crime, Drama"
4. The Godfather: Part II (1974),"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202 min,"Crime, Drama"
5. The Lord of the Rings: The Return of the King (2003),Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201 min,"Action, Adventure, Drama"
6. Pulp Fiction (1994),"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",154 min,"Crime, Drama"
7. Schindler's List (1993),"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",195 min,"Biography, Drama, History"
8. 12 Angry Men (1957),A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,96 min,"Crime, Drama"
9. Inception (2010),A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,148 min,"Action, Adventure, Sci-Fi"
10. Fight Club (1999),"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",139 min,Drama
11. The Lord of the Rings: The Fellowship of the Ring (2001),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178 min,"Action, Adventure, Drama"
12. Forrest Gump (1994),"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",142 min,"Drama, Romance"
"13. The Good, the Bad and the Ugly (1966)",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,178 min,Western
